DealId,Difficulty,MinRecyclesNeeded,GreedySolved,GreedyCardsLeft,GreedyMoves,Inversions,CritTraps,KingsTop,KingsMid,KingsBot,KingsStock,StartBranching,R0_Solved,R0_States,R0_Depth,R0_Backtrack,R1_Solved,R1_States,R1_Depth,R1_Backtrack,R2_Solved,R2_States,R2_Depth,R2_Backtrack
Deal_0,Easy,1,False,28,70,6,4,2,0,0,2,1,False,181325,34,181291,True,349,43,306,True,310,49,261
Deal_1,Easy,1,False,24,76,12,9,1,1,1,1,1,False,247772,33,247739,True,1824,46,1778,True,1824,46,1778
Deal_2,Easy,1,False,24,73,10,9,0,1,1,2,1,False,871578,37,871541,True,6629,47,6582,True,1250,44,1206
Deal_3,Easy,1,False,19,75,11,9,1,1,0,2,3,False,118271,36,118235,True,1527,39,1488,True,1527,39,1488
Deal_4,Easy,1,False,16,82,11,6,0,3,0,1,4,False,764804,38,764766,True,267,48,219,True,267,48,219
Deal_5,Easy,1,False,26,71,11,9,0,2,0,2,4,False,74399,36,74363,True,422,40,382,True,422,40,382
Deal_6,Easy,1,False,23,75,9,7,2,0,1,1,1,False,41832,36,41796,True,605,42,563,True,605,42,563
Deal_7,Easy,1,False,23,73,12,10,0,1,1,2,1,False,117407,37,117370,True,131,40,91,True,131,40,91
Deal_8,Easy,1,False,23,76,11,8,0,2,1,1,1,False,131372,38,131334,True,856,45,811,True,856,45,811
Deal_9,Easy,1,False,21,74,13,8,1,1,0,2,5,False,851242,35,851207,True,26505,41,26464,True,26505,41,26464
Deal_10,Medium,1,False,23,69,14,11,0,0,0,4,6,False,219601,35,219566,True,856,39,817,True,856,39,817
Deal_11,Medium,1,False,22,74,10,10,0,0,2,2,1,False,64278,34,64244,True,9346,46,9300,True,5308,47,5261
Deal_12,Medium,1,False,24,72,12,8,0,2,0,2,3,False,168026,32,167994,True,4645,46,4599,True,2417,44,2373
Deal_13,Medium,1,False,26,74,11,5,0,2,1,1,1,False,292985,35,292950,True,1547,47,1500,True,289,44,245
Deal_14,Medium,1,False,26,71,8,6,1,1,0,2,4,False,1032856,35,1032821,True,3239,44,3195,True,3239,44,3195
Deal_15,Medium,1,False,22,73,16,11,0,2,0,2,5,False,887658,35,887623,True,2055,47,2008,True,2055,47,2008
Deal_16,Medium,2,False,25,77,11,8,1,3,0,0,3,False,44312,33,44279,False,2500001,56,2499945,True,1948,55,1893
Deal_17,Medium,1,False,22,78,9,5,0,3,0,1,3,False,751335,35,751300,True,8980,47,8933,True,8980,47,8933
Deal_18,Medium,0,False,26,74,10,6,2,1,0,1,1,True,42912,39,42873,True,920,44,876,True,830,46,784
Deal_19,Medium,1,False,23,78,11,7,2,2,0,0,4,False,284814,36,284778,True,19214,53,19161,True,19214,53,19161
Deal_20,Hard,1,False,20,77,10,5,1,1,1,1,1,False,2035747,39,2035708,True,13179,42,13137,True,13179,42,13137
Deal_21,Hard,1,False,23,72,12,9,0,1,0,3,1,False,87609,35,87574,True,119195,51,119144,True,395,50,345
Deal_22,Hard,1,False,23,72,12,9,0,1,0,3,1,False,87609,35,87574,True,119195,51,119144,True,395,50,345
Deal_23,Hard,1,False,25,75,11,7,1,1,1,1,1,False,432979,34,432945,True,1358,45,1313,True,1359,45,1314
Deal_24,Hard,1,False,19,75,10,7,0,1,1,2,1,False,294440,39,294401,True,3364,38,3326,True,3364,38,3326
Deal_25,Hard,1,False,24,73,17,12,1,0,1,2,1,False,93522,35,93487,True,6563,48,6515,True,6567,48,6519
Deal_26,Hard,1,False,24,71,19,11,0,1,0,3,2,False,415845,35,415810,True,3128,44,3084,True,3131,44,3087
Deal_27,Hard,2,False,19,79,12,7,0,2,1,1,1,False,449211,35,449176,False,2500001,56,2499945,True,45780,50,45730
Deal_28,Hard,1,False,25,72,16,10,0,1,1,2,1,False,298835,37,298798,True,2766,39,2727,True,2766,39,2727
Deal_29,Hard,1,False,27,73,15,10,0,3,0,1,2,False,78959,38,78921,True,10411,53,10358,True,2592,54,2538
